url,type,param,technique,payload,evidence
http://localhost:8000/admin.php,GET,delete_comment,error-based,',SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/admin.php,GET,delete_user,error-based,',SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/cart.php,POST,product_id,error-based,',SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/view_upload.php,GET,id,error-based,',SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/index.php,POST,user_id,error-based,',SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/admin.php,POST,comment_id,error-based,',SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/login.php,POST,username,error-based,',SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/admin.php,GET,delete_comment,error-based,"""",SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/search.php,GET,q,error-based,',SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/cart.php,POST,product_id,error-based,"""",SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/admin.php,GET,delete_user,error-based,"""",SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/index.php,GET,q,error-based,',SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/view_upload.php,GET,id,error-based,"""",SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/products.php,GET,q,error-based,',SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/admin.php,POST,user_id,error-based,',SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/admin.php,GET,delete_user,error-based,'),SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/index.php,POST,user_id,error-based,"""",SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/view_upload.php,GET,id,error-based,'),SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/admin.php,POST,comment_id,error-based,"""",SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/admin.php,GET,delete_comment,error-based,'),SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/cart.php,POST,product_id,error-based,'),SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/search.php,GET,q,error-based,'),SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/admin.php,POST,user_id,error-based,"""",SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/view_upload.php,GET,id,error-based,""" )",SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/admin.php,GET,delete_user,error-based,""" )",SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/login.php,POST,username,error-based,'),SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/admin.php,GET,delete_comment,error-based,""" )",SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/cart.php,POST,product_id,error-based,""" )",SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/products.php,GET,q,error-based,'),SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/index.php,POST,user_id,error-based,'),SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/admin.php,POST,comment_id,error-based,'),SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/admin.php,POST,user_id,error-based,'),SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/index.php,GET,q,error-based,'),SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/index.php,POST,user_id,error-based,""" )",SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/admin.php,POST,comment_id,error-based,""" )",SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/admin.php,POST,user_id,error-based,""" )",SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/view_upload.php,GET,id,boolean-blind, AND 1=1 -- / AND 1=2 -- ,len_t=1055 len_f=9
http://localhost:8000/cart.php,POST,note,error-based,',SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/index.php,POST,comment,error-based,',SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/login.php,POST,password,error-based,',SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/cart.php,POST,note,error-based,"""",SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/index.php,POST,comment,error-based,"""",SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/login.php,POST,password,error-based,'),SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/cart.php,POST,note,error-based,'),SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/index.php,POST,comment,error-based,'),SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/index.php,POST,comment,error-based,""" )",SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/cart.php,POST,note,error-based,""" )",SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/index.php,POST,add_comment,error-based,',SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/index.php,POST,add_comment,error-based,"""",SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/products.php,GET,q,boolean-blind,' OR '1'='1' -- /' OR '1'='2' -- ,len_t=3320 len_f=1173
http://localhost:8000/index.php,POST,add_comment,error-based,'),SQLSTATE\[[A-Z0-9]+\]
http://localhost:8000/index.php,POST,add_comment,error-based,""" )",SQLSTATE\[[A-Z0-9]+\]
